idcategories;nama;parent_category_id;created_at;updated_at
1;Appliances;;;
2;Bathroom;;;
3;Building Material;;;
4;Doors & Windows;;;
5;Electrical & Lighting;;;
6;Flooring & Wall;;;
7;Hardware;;;
8;Houseware & Hobbies;;;
9;Kitchen;;;
10;Paint & Sundries;;;
11;Plumbin Tools;;;
12;Plumbing;;;
13;Tools;;;
14;Cooling;1;;
15;Dispenser;1;;
16;Kulkas;1;;
17;Mesin Cuci & Pengering;1;;
18;Microwaves & Ovens;1;;
19;Setrika;1;;
20;Small Appliances;1;;
21;TV;1;;
22;Vacuum Cleaner;1;;
23;Aksesoris;2;;
24;Aneka Keran;2;;
25;Bathtub & Shower Tray;2;;
26;Closet;2;;
27;Fixtures;2;;
28;Lavatory/Wastafel;2;;
29;Shower;2;;
30;Water Heater;2;;
31;Atap;3;;
32;Building Chemical;3;;
33;Semen;3;;
34;Tangga;3;;
35;Terpal;3;;
36;Jendela;4;;
37;Pintu;4;;
38;Kelistrikan;5;;
39;Kipas;5;;
40;Lampu;5;;
41;Glassblock;6;;
42;Granit;6;;
43;Home Decor;6;;
44;Keramik;6;;
45;Lantai Kayu;6;;
46;Mosaic;6;;
47;Vinyl;6;;
48;Air Conditioner (AC);14;;
49;Air Cooler;14;;
50;Air Purifier;14;;
51;Mesin Cuci;17;;
52;Pengering;17;;
53;Microwave;18;;
54;Oven;18;;
55;Blender & Juicer;20;;
56;Mixer & Chopper;20;;
57;Rice Cooker;20;;
58;Toaster;20;;
59;Gantungan;23;;
60;Rak;23;;
61;Tempat Gelas;23;;
62;Tempat Sabun;23;;
63;Tempat Sikat Gigi;23;;
64;Tempat Tisu;23;;
65;Basin Mixer;24;;
66;Keran;24;;
67;Keran Panas Dingin;24;;
68;Kitchen Mixer;24;;
69;Shower Panas Dingin;24;;
70;Bathtub;25;;
71;Shower Tray;25;;
72;Floor Drain;27;;
73;Selang Flexible;27;;
74;Selang Pembuangan;27;;
75;Stop Valve;27;;
76;Cabinet Wastafel;28;;
77;Counter Top Wastafel;28;;
78;Pedestal;28;;
79;Wastafel Gantung;28;;
80;Wastafel Kaca;28;;
81;Aksesoris Shower;29;;
82;Hand Shower;29;;
83;Head Shower;29;;
84;Shower Column;29;;
85;Toilet Shower;29;;
86;Electric;30;;
87;Gas;30;;
88;Solar;30;;
89;Aluminium Foil;31;;
90;Atap;31;;
91;Acian;33;;
92;Anti Bocor;33;;
93;Concrete Mix;33;;
94;Grouting;33;;
95;Pengeras Beton;33;;
96;Plaster;33;;
97;Thin bed;33;;
98;Tile Adhesive;33;;
99;Jendela Baja;36;;
100;Kusen;37;;
101;Pintu Baja;37;;
102;Pintu Kayu;37;;
103;Pintu Plastik;37;;
104;Aksesoris Listrik;38;;
105;Antena;38;;
106;Batre;38;;
107;Kabel;38;;
108;Saklar;38;;
109;Exhaust Fan;39;;
110;Kipas Berdiri;39;;
111;Kipas Gantung;39;;
112;Bohlam;40;;
113;Lampu Hias;40;;
114;Glassblock Polos;41;;
115;Panel Dinding;43;;
116;Keramik Dinding;44;;
117;Keramik Lantai;44;;
118;Laminate Floor;45;;
119;WPC;45;;
120;Click;47;;
121;Plank;47;;
122;SPC;47;;
